20,18183
40,16722
60,15231
80,14513
100,13753
120,12968
140,12206
160,11715
180,11103
200,10599
220,10227
240,9993
260,9854
280,9602
300,9518
320,9347
340,9147
360,8955
380,8738
400,8677
420,8408
440,8391
460,8233
480,8117
500,8066
520,7986
540,7905
560,7844
580,7717
600,7686
620,7632
640,7563
660,7553
680,7513
700,7465
720,7465
740,7451
760,7328
780,7328
800,7328
820,7249
840,7195
860,7195
880,7175
900,7103
920,7023
940,6948
960,6899
980,6899
1000,6884
1020,6884
1040,6873
1060,6830
1080,6768
1100,6731
1120,6729
1140,6729
1160,6713
1180,6698
1200,6698
1220,6698
1240,6698
1260,6698
1280,6698
1300,6698
1320,6698
1340,6698
1360,6698
1380,6698
1400,6686
1420,6686
1440,6647
1460,6647
1480,6647
1500,6629
1520,6600
1540,6600
1560,6569
1580,6547
1600,6547
1620,6547
1640,6532
1660,6532
1680,6532
1700,6423
1720,6423
1740,6397
1760,6381
1780,6355
1800,6293
1820,6293
1840,6293
1860,6293
1880,6279
1900,6278
1920,6254
1940,6254
1960,6254
1980,6254
2000,6254
2020,6137
2040,6126
2060,6121
2080,6093
2100,6025
2120,6025
2140,6025
2160,6025
2180,5934
2200,5923
2220,5923
2240,5914
2260,5914
2280,5914
2300,5914
2320,5908
2340,5908
2360,5902
2380,5902
2400,5898
2420,5837
2440,5827
2460,5827
2480,5827
2500,5827
2520,5827
2540,5827
2560,5790
2580,5790
2600,5790
2620,5780
2640,5780
2660,5752
2680,5752
2700,5752
2720,5752
2740,5722
2760,5722
2780,5722
2800,5695
2820,5695
2840,5677
2860,5677
2880,5677
2900,5677
2920,5677
2940,5677
2960,5677
2980,5677
3000,5677
3020,5677
3040,5677
3060,5677
3080,5677
3100,5673
3120,5673
3140,5672
3160,5672
3180,5672
3200,5670
3220,5670
3240,5646
3260,5646
3280,5646
3300,5646
3320,5646
3340,5646
3360,5646
3380,5646
3400,5646
3420,5646
3440,5646
3460,5639
3480,5625
3500,5625
3520,5625
3540,5625
3560,5619
3580,5619
3600,5619
3620,5619
3640,5619
3660,5619
3680,5619
3700,5619
3720,5619
3740,5619
3760,5604
3780,5604
3800,5604
3820,5604
3840,5604
3860,5604
3880,5598
3900,5598
3920,5598
3940,5598
3960,5561
3980,5561
4000,5561
4020,5561
4040,5561
4060,5546
4080,5529
4100,5529
4120,5529
4140,5519
4160,5519
4180,5519
4200,5519
4220,5496
4240,5496
4260,5496
4280,5496
4300,5496
4320,5469
4340,5469
4360,5469
4380,5469
4400,5467
4420,5467
4440,5463
4460,5463
